date,city,state,store_id,product_id,base_price,promotional_discount,promotion_type,final_price
01-01-2023,Mumbai,Maharashtra,MUM_01,P001,134.35,6.72,Percentage Discount,127.63
01-01-2023,Mumbai,Maharashtra,MUM_02,P001,135.09,13.51,Percentage Discount,121.58
01-01-2023,Mumbai,Maharashtra,MUM_03,P001,136.33,0,None,136.33
01-01-2023,Mumbai,Maharashtra,MUM_04,P001,140.32,0,None,140.32
01-01-2023,Mumbai,Maharashtra,MUM_05,P001,142.32,14.23,Buy One Get One Free,128.09
01-01-2023,Mumbai,Maharashtra,MUM_06,P001,145.83,21.87,Buy One Get One Free,123.96
01-01-2023,Mumbai,Maharashtra,MUM_07,P001,136.05,0,None,136.05
01-01-2023,Mumbai,Maharashtra,MUM_08,P001,138.74,20.81,None,117.93
01-01-2023,Mumbai,Maharashtra,MUM_09,P001,138.06,0,None,138.06
01-01-2023,Mumbai,Maharashtra,MUM_10,P001,139.05,13.91,Percentage Discount,125.14
01-01-2023,Mumbai,Maharashtra,MUM_11,P001,145.82,0,None,145.82
01-01-2023,Mumbai,Maharashtra,MUM_12,P001,136.49,13.65,Buy One Get One Free,122.84
01-01-2023,Mumbai,Maharashtra,MUM_13,P001,144.24,14.42,Buy One Get One Free,129.82
01-01-2023,Mumbai,Maharashtra,MUM_14,P001,136.37,6.82,Buy One Get One Free,129.55
01-01-2023,Mumbai,Maharashtra,MUM_15,P001,142.34,0,None,142.34
01-01-2023,Mumbai,Maharashtra,MUM_16,P001,142.21,7.11,Buy One Get One Free,135.1
01-01-2023,Mumbai,Maharashtra,MUM_17,P001,142.51,7.13,Buy One Get One Free,135.38
01-01-2023,Mumbai,Maharashtra,MUM_18,P001,142.95,0,None,142.95
01-01-2023,Mumbai,Maharashtra,MUM_19,P001,144.08,21.61,Percentage Discount,122.47
01-01-2023,Mumbai,Maharashtra,MUM_20,P001,140.44,14.04,None,126.4
01-01-2023,Mumbai,Maharashtra,MUM_21,P001,134.33,0,None,134.33
01-01-2023,Mumbai,Maharashtra,MUM_22,P001,140.62,21.09,Buy One Get One Free,119.53
01-01-2023,Mumbai,Maharashtra,MUM_23,P001,137.18,6.86,None,130.32
01-01-2023,Mumbai,Maharashtra,MUM_24,P001,136.41,20.46,Percentage Discount,115.95
01-01-2023,Mumbai,Maharashtra,MUM_25,P001,140.63,0,None,140.63
01-01-2023,Mumbai,Maharashtra,MUM_26,P001,138.98,13.9,None,125.08
01-01-2023,Mumbai,Maharashtra,MUM_27,P001,143.24,21.49,None,121.75
01-01-2023,Mumbai,Maharashtra,MUM_28,P001,145.56,14.56,Percentage Discount,131
01-01-2023,Mumbai,Maharashtra,MUM_29,P001,146.72,0,None,146.72
01-01-2023,Mumbai,Maharashtra,MUM_30,P001,138.38,6.92,Buy One Get One Free,131.46
01-02-2023,Mumbai,Maharashtra,MUM_01,P001,136.25,20.44,Percentage Discount,115.81
01-02-2023,Mumbai,Maharashtra,MUM_02,P001,147.39,14.74,Buy One Get One Free,132.65
01-02-2023,Mumbai,Maharashtra,MUM_03,P001,135.49,0,None,135.49
01-02-2023,Mumbai,Maharashtra,MUM_04,P001,140.69,21.1,None,119.59
01-02-2023,Mumbai,Maharashtra,MUM_05,P001,142.1,0,None,142.1
01-02-2023,Mumbai,Maharashtra,MUM_06,P001,137.82,6.89,Percentage Discount,130.93
01-02-2023,Mumbai,Maharashtra,MUM_07,P001,142.49,14.25,Percentage Discount,128.24
01-02-2023,Mumbai,Maharashtra,MUM_08,P001,140.06,21.01,None,119.05
01-02-2023,Mumbai,Maharashtra,MUM_09,P001,145.36,7.27,None,138.09
01-02-2023,Mumbai,Maharashtra,MUM_10,P001,147.12,7.36,Percentage Discount,139.76
01-02-2023,Mumbai,Maharashtra,MUM_11,P001,139.69,20.95,Percentage Discount,118.74
01-02-2023,Mumbai,Maharashtra,MUM_12,P001,138.29,13.83,Percentage Discount,124.46
01-02-2023,Mumbai,Maharashtra,MUM_13,P001,138.02,13.8,Buy One Get One Free,124.22
01-02-2023,Mumbai,Maharashtra,MUM_14,P001,139.18,0,None,139.18
01-02-2023,Mumbai,Maharashtra,MUM_15,P001,134.97,13.5,Percentage Discount,121.47
01-02-2023,Mumbai,Maharashtra,MUM_16,P001,134.84,20.23,Buy One Get One Free,114.61
01-02-2023,Mumbai,Maharashtra,MUM_17,P001,139.9,7,Percentage Discount,132.9
01-02-2023,Mumbai,Maharashtra,MUM_18,P001,142.35,21.35,None,121
01-02-2023,Mumbai,Maharashtra,MUM_19,P001,144.01,7.2,None,136.81
01-02-2023,Mumbai,Maharashtra,MUM_20,P001,143.44,7.17,Percentage Discount,136.27
01-02-2023,Mumbai,Maharashtra,MUM_21,P001,142.08,21.31,Percentage Discount,120.77
01-02-2023,Mumbai,Maharashtra,MUM_22,P001,138.68,20.8,None,117.88
